"convocatoria","colectiva_nombre","colectiva_url","pais","ciudad","actividad_fecha","actividad_hora","actividad_localizacion","actividad_localizacion_latitude","actividad_localizacion_longitude","actividad_localizacion_altitude","actividad_localizacion_precision","actividad_direccion","actividad_url_imagen","actividad_url_convocatoria"
"2024","Tejiendo Colmenarejo","","ES","Colmenarejo (Madrid)","2024-02-28","16:30:00","40.55976 -4.017466 0 0","40.55976","-4.017466","0.0","0.0","Centro Cultural Manuel Entero, Colmenarejo, Madrid","{{https://www.ayto-colmenarejo.com/wp-content/upLoads/2024/01/WhatsApp-Image-2024-01-25-at-10.36.27.jpeg}}",""
"2024","Ayuntamiento de Madrid","https://www.madrid.es/portales/munimadrid/es/Inicio/Igualdad-y-diversidad/Nada-mas-que-feminismo-nada-menos-que-igualdad-Campana-8M-2024/?vgnextfmt=default&vgnextoid=ed39d94e361cd810VgnVCM1000001d4a900aRCRD&vgnextchannel=c426c05098535510VgnVCM1000008a4a900aRCRD","ES","Madrid","2024-03-08","12:00:00","40.418733 -3.691981 0 0","40.418733","-3.691981","0.0","0.0","Ayuntamiento de Madrid, Plaza de Cibeles","{{https://www.madrid.es/UnidadesDescentralizadas/IgualdadDeOportunidades/ContenidosBasicos/Actividades/Conmemoraciones/Marzo8Mujer/8marzo2024/ficheros/8M-Carteles-Nadamasquefeminismo.jpg}}",""
"2024","ATENEO de Madrid","https://ateneodemadrid.com","ES","Madrid","2024-03-04","17:00:00","40.415406 -3.698356 0 0","40.415406","-3.698356","0.0","0.0","Prado, 21, Madrid","{{https://ateneodemadrid.com/wp-content/uploads/2024/02/04.03.2024-Claudia-Goldin-1-724x1024.jpg}}","https://ateneodemadrid.com/evento/asufin-8m-2024/"
"2024","Mayores por la Cultura","","ES","Colmenarejo (Madrid)","2024-03-09","19:00:00","40.559657 -4.017439 0 0","40.559657","-4.017439","0.0","0.0","Campana, 5, 28270 Colmenarejo, Madrid","{{https://www.ayto-colmenarejo.com/wp-content/upLoads/2024/02/Encuentro-Coral-Dia-de-la-Mujer.png}}","https://www.ayto-colmenarejo.com/?ai1ec_event=encuentro-coral-dia-de-la-mujer&instance_id=1138"
"2024","Ayuntamiento de Colmenarejo","https://www.ayto-colmenarejo.com/","ES","Colmenarejo (Madrid)","2024-02-27","09:00:00","40.559695 -4.017445 0 0","40.559695","-4.017445","0.0","0.0","Campana, 5, 28270 Colmenarejo, Madrid","{{https://www.ayto-colmenarejo.com/wp-content/upLoads/2024/01/rea-212x300.png}}","https://www.ayto-colmenarejo.com/?ai1ec_event=exposicion-3&instance_id=1129"
"2024","Universidad Politécnica de Madrid (UPM)","","ES","Madrid","2024-03-08","10:30:00","40.449768 -3.722571 0 0","40.449768","-3.722571","0.0","0.0","C. de José Antonio Novais, 10 Moncloa - Aravaca 28040 Madrid","{{https://eventos.upm.es/_files/_event/_109715/_header_img/_155954.jpg}}","https://eventos.upm.es/109715/detail/matematicas-sin-genero.html"
"2024","Universidad Complutense de Madrid (UCM)","","ES","Madrid","2024-03-06","12:30:00","40.43352 -3.789328 0 0","40.43352","-3.789328","0.0","0.0","UCM Facultad de Ciencias Económicas y Empresariales, Campus de Somosaguas - Universidad Complutense de Madrid, Pozuelo de Alarcón, España","{{https://eventos.ucm.es/_files/_event/_112556/_header_img/_161055.jpg}}","https://eventos.ucm.es/112556/detail/conferencia-institucional-dia-internacional-de-la-mujer.html"
"2024","Comisión 8M","","ES","Madrid","2024-03-08","19:00:00","40.408786 -3.691914 0 0","40.408786","-3.691914","0.0","0.0","Plaza de Atocha, Madrid","{{https://www.instagram.com/feminismosmadrid/p/C3Xbu-dKEjc/?next=%2Fp%2FCuNGR04gFs4%2F&ref=journal%2BInstagram&hl=pa}}",""
"2024","Asturies Feminista 8M","https://www.facebook.com/AsturiesFeminista8M","ES","Avilés","2024-03-03","11:00:00","43.55831 -5.922714 0 0","43.55831","-5.922714","0.0","0.0","Pl. Pedro Menéndez, Avilés","{{https://scontent.fbcn7-2.fna.fbcdn.net/v/t39.30808-6/417519680_427583572957194_7006955090617920585_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=LO7r20sBr7oAX97Fsj4&_nc_ht=scontent.fbcn7-2.fna&oh=00_AfAo2YniuD73wmL1aMCsFoBWjtt1SukZTXIq2yxrUP_3qg&oe=65E471AA}}","https://www.facebook.com/photo/?fbid=427583506290534&set=a.288231240225762"
"2024","QueerKastle","https://queerkastle.de/","DE","Karlsruhe","2024-03-10","18:00:00","49.009247 8.408853 0 0","49.009247","8.408853","0.0","0.0","Triangle Open Space      Kaiserstraße 93     Karlsruhe, 76133","{{https://queerkastle.de/wp-content/uploads/QK2024-FLINTA-Lesung.jpg}}","https://queerkastle.de/veranstaltung/flinta-lesung/"
"2024","QueerKastle","https://queerkastle.de/","DE","Karlsruhe","2024-03-08","17:00:00","49.008557 8.394085 0 0","49.008557","8.394085","0.0","0.0","Stephansplatz, Karlsurhe","{{https://scontent.cdninstagram.com/v/t51.2885-15/427566391_3590539031159823_5837952922939984260_n.webp?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMjAweDEyMDAuc2RyIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=103&_nc_ohc=wJRGmpsFC7gAX_50hQ2&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MzI5OTkwNzQxNjY1MTU4OTQ5MQ%3D%3D.2-ccb7-5&oh=00_AfBGVxx8mF5MH3QqtXMtnzrdxNusoZ8L44ciVzqiRu69lg&oe=65E4A024&_nc_sid=10d13b}}","https://www.instagram.com/p/C3LoFDasu-Q/?img_index=1"
"2024","Comision 8M del movimiento feminista de Madrid","https://hacialahuelgafeminista.org/manifestacion-8m2024-atocha-colon/","ES","Madrid","2024-03-08","19:00:00","40.408697 -3.692079 0 0","40.408697","-3.692079","0.0","0.0","ATOCHA-PLZA.COLÓN","{{https://www.instagram.com/p/C3Xbu-dKEjc/?hl=es-es%2FJPG}}","https://www.instagram.com/p/C3Xbu-dKEjc/?hl=es-es"
"2024","Comision 8M del movimiento feminista de Madrid","https://hacialahuelgafeminista.org/manifestacion-8m2024-atocha-colon/","ES","Madrid","2024-03-02","18:00:00","40.435573 -3.686922 0 0","40.435573","-3.686922","0.0","0.0","MADRID","{{https://www.instagram.com/p/C3TLOoUqHo4/?hl=es-es%2FJPG}}","https://www.instagram.com/p/C3TLOoUqHo4/?hl=es-es"
"2024","BICICLETADA TRANSFEMINISTA","","ES","Madrid","2024-03-08","17:00:00","40.4021 -3.69595 0 0","40.4021","-3.69595","0.0","0.0","Jardines de Palestina, C/ Canarias esquina C/ Batalla del Salado. Madrid","{{https://pbs.twimg.com/media/GHWAIi_XwAAyrbf?format=jpg&name=medium}}","https://www.facebook.com/photo/?fbid=794721762684546&set=a.458402086316517"
"2024","Wikimedia México","https://twitter.com/editatona","MX","Ciudad de México","2024-02-24","11:00:00","19.430873 -99.150922 0 0","19.430873","-99.150922","0.0","0.0","No es actividad pública","{{https://commons.wikimedia.org/wiki/File:Poster_Editatona_Nosotras_en_la_Ciencia.png}}",""
"2024","Wikimedia México","https://twitter.com/editatona","MX","Ciudad de México","2024-03-02","11:00:00","20.7203 -103.389796 0 0","20.7203","-103.389796","0.0","0.0","Museo de Arte de Zapopan, Jalisco: Prol. 20 De Noviembre 166, centro historico, 45100 Zapopan, Jal.","{{https://twitter.com/editatona/status/1762609503307022753/photo/1}}",""
"2024","Wikimedia México","https://twitter.com/editatona","MX","Ciudad de México","2024-03-07","11:00:00","21.913483 -102.317055 0 0","21.913483","-102.317055","0.0","0.0","enemérita Universidad Autónoma de Aguascalientes: Av. Universidad 940, Ciudad Universitaria, Universidad Autónoma de Aguascalientes","{{https://twitter.com/Wikimedia_mx/status/1762705543876018523}}",""
"2024","Wikimedia México","https://twitter.com/editatona","MX","Ciudad de México","2024-03-07","15:00:00","20.612927 -100.405944 0 0","20.612927","-100.405944","0.0","0.0","No es actividad pública","{{https://twitter.com/editatona/status/1762704500966486198}}",""
"2024","Wikimedia México","https://twitter.com/editatona","MX","Ciudad de México","2024-03-09","11:00:00","19.314758 -99.185382 0 0","19.314758","-99.185382","0.0","0.0","Museo Universitario Arte Contemporáneo: Av. Insurgentes Sur 3000, C.U., Coyoacán y Universidad Autónoma Metropolitana unidad Azcapotzalco: Av. San Pablo 420 Col. Nueva El Rosario Alcaldía Azcapotzalco","{{https://commons.wikimedia.org/wiki/Category:Carteles_Editatona_2024#/media/File:Cartel_Editatona_Mujeres_Artistas_Mexicanas_2024.png}}",""
"2024","Wikimedia México","https://twitter.com/editatona","MX","Ciudad de México","2024-03-15","11:00:00","24.131884 -110.325376 0 0","24.131884","-110.325376","0.0","0.0","Secretaria del Bienestar de la Paz, Baja California: Blvd. Gral. Agustín Olachea, Privada las Garzas, 23075 La Paz, B.C.S.","{{https://commons.wikimedia.org/wiki/File:Cartel_Editatona_Mujeres_destacadas_en_la_historia_sudcaliforniana.png}}",""
"2024","Wikimedia México","https://twitter.com/editatona","MX","Ciudad de México","2024-03-23","11:00:00","22.11747 -100.998898 0 0","22.11747","-100.998898","0.0","0.0","Museo Laberinto de las Ciencias y las Artes: Blvd. Antonio Rocha Cordero S/N, Tierra Blanca","{{https://commons.wikimedia.org/wiki/File:Cartel_Editatona_de_Mujeres_Potosinas.jpg}}",""
"2024","Wikimedia México","https://twitter.com/editatona","MX","Ciudad de México","2024-04-04","11:00:00","19.519931 -96.918889 0 0","19.519931","-96.918889","0.0","0.0","Universidad Veracruzana: Paseo #112, Sección 2A. 2do. Piso, Col. Nuevo Xalapa, Xalapa, Mexico","{{https://commons.wikimedia.org/wiki/File:Cartel_Actividades_Marzo_Extendido_2024.png}}",""
