"indice","convocatoria","colectiva_nombre","colectiva_url","pais","ciudad","actividad_fecha","actividad_hora","actividad_localizacion","actividad_localizacion_latitude","actividad_localizacion_longitude","actividad_localizacion_altitude","actividad_localizacion_precision","actividad_direccion","actividad_url_imagen","actividad_url_convocatoria"
"280","2024","Observatoria Todas Mx-Sonora","https://www.facebook.com/observatoriatodasmxsonora/","MX","San Luis Río Colorado, Sonora.","2024-03-08","10:00:00","32.479953 -114.780596 0 0","32.479953","-114.780596","0.0","0.0","Av. Miguel Hidalgo 403, Comercial, 83400 San Luis Río Colorado, Son., México","{{la-mujer/alternates/LANDSCAPE_768/Invitan%20a%20eventos%20del%208%20de%20marzo,%20Día%20Internacional%20de%20la%20Mujer3%ADa%20Internacional%20de%20la%20Mujer}}","https://www.tribunadesanluis.com.mx/local/el-dia-internacional-de-la-mujer-instalaran-tendedero-de-denuncias-feministas-8m-san-luis-rio-colorado-11555377.html"
"281","2024","Observatoria Todas Mx-Sonora","https://www.facebook.com/observatoriatodasmxsonora/","MX","San Luis Río Colorado, Sonora.","2024-03-08","20:00:00","32.432444 -114.802153 0 0","32.432444","-114.802153","0.0","0.0","Calle Segunda y  callejón Hidalgo, San Luis Río Colorado, Sonora.","{{ternacional-de-la-mujer-el-proximo-8-de-marzo/alternates/LANDSCAPE_768/Mujeres%20sanluisinas%20conmemorarán%20el%20Día%20Internacional%20de%20la%20Mujer,%20el%20próximo%208%20de%20marzo}}","https://www.tribunadesanluis.com.mx/local/grupos-feministas-preparan-actividades-para-conmemorar-el-dia-internacional-de-la-mujer-8m-san-luis-rio-colorado-11528676.html"
"282","2024","Collecti.e.f 8 maars - Bruxelles","https://www.facebook.com/Collectief8maarsBruxelles","BE","Bruxelles","2024-03-08","07:00:00","50.861004 4.358896 0 0","50.861004","4.358896","0.0","0.0","Gare du Nord, Exki, Blvd Simon Bolivar 7/9. Bruxelles","{{https://i.imgur.com/1B8oHey.jpeg}}","https://www.facebook.com/events/1170890643876756/?acontext=%7B%22event_action_history%22%3A[]%7D"
"283","2024","Collectif Droits des Femmes 69","https://www.facebook.com/Collectifdroitsdesfemmes69/","FR","Lyon","2024-03-08","12:30:00","45.745912 4.842335 0 0","45.745912","4.842335","0.0","0.0","Place Jean Macé, 69007 Lyon, France","{{https://i.imgur.com/RRwl7Rj.jpeg}}","https://www.facebook.com/events/757751022981309?acontext=%7B%22event_action_history%22%3A[]%7D"
"284","2024","IWISTER Pakistan","https://www.facebook.com/groups/wempowerpakistan","PK","Islamabad","2024-03-08","11:00:00","33.674654 73.05386 0 0","33.674654","73.05386","0.0","0.0","Remote activity","{{https://i.imgur.com/HZG52fg.jpeg}}","https://www.facebook.com/groups/wempowerpakistan"
"285","2024","Rede 8 de Março","https://www.facebook.com/Rede8Marco","PT","Viseu","2024-03-08","17:30:00","40.657665 -7.912297 0 0","40.657665","-7.912297","0.0","0.0","Praça 2 De Maio. Rua Doutor Luís Ferreira 56, 3500-110 Viseu, Portugal","{{https://i.imgur.com/VN6CnbT.jpeg}}","https://www.facebook.com/events/363897273215382/?ref=newsfeed"
"286","2024","Rede 8 de Março","https://feminista.pt/organizacoes/rede-8-de-marco","PT","Lisboa","2024-03-08","17:30:00","38.737683 -9.134101 0 0","38.737683","-9.134101","0.0","0.0","Alameda Dom Afonso Henriques 72, 1000-125 Lisboa, Portugal","{{https://i.imgur.com/STvC6SZ.jpeg}}","https://www.facebook.com/photo/?fbid=817963237030677&set=pb.100064510249492.-2207520000"
"287","2024","Rede 8 de Março","https://linktr.ee/8marco","PT","Aveiro","2024-03-08","18:00:00","40.641513 -8.655363 0 0","40.641513","-8.655363","0.0","0.0","Praça dos Arcos, Aveiro, Portugal","{{https://i.imgur.com/STvC6SZ.jpeg}}","https://www.facebook.com/photo/?  fbid=817963237030677&set=pb.10006451024949  2.-2207520000"
"288","2024","Rede 8 de Março","https://linktr.ee/8marco","PT","Barcelos","2024-03-08","18:00:00","41.531333 -8.61918 0 0","41.531333","-8.61918","0.0","0.0","Porta Nova, Barcelos. Portugal","{{https://i.imgur.com/STvC6SZ.jpeg}}","https://www.facebook.com/photo/?  fbid=817963237030677&set=pb.10006451024949  2.-2207520000"
"289","2024","Rede 8 de Março","https://linktr.ee/8marco","PT","Braga","2024-03-08","18:00:00","41.551752 -8.420117 0 0","41.551752","-8.420117","0.0","0.0","Avenida Central, Braga. Portugal","{{https://i.imgur.com/STvC6SZ.jpeg}}","https://www.facebook.com/photo/?  fbid=817963237030677&set=pb.10006451024949  2.-2207520000"
